  -8.0000000000,  -5.0000000000,  -0.0310622367,  -0.0276689354,  -0.0470833060,  -0.1902836654
  -8.0000000000,  -4.9000000000,  -0.0302826507,  -0.0268434561,  -0.0453564507,  -0.1836195427
  -8.0000000000,  -4.8000000000,  -0.0294941071,  -0.0260119495,  -0.0436283403,  -0.1767309305
  -8.0000000000,  -4.7000000000,  -0.0286972427,  -0.0251751195,  -0.0419011961,  -0.1696445563
  -8.0000000000,  -4.6000000000,  -0.0278929010,  -0.0243338525,  -0.0401775685,  -0.1623914201
  -8.0000000000,  -4.5000000000,  -0.0270821696,  -0.0234892483,  -0.0384603780,  -0.1550067166
  -8.0000000000,  -4.4000000000,  -0.0262664228,  -0.0226426538,  -0.0367529571,  -0.1475296343
  -8.0000000000,  -4.3000000000,  -0.0254473667,  -0.0217956983,  -0.0350590905,  -0.1400030145
  -8.0000000000,  -4.2000000000,  -0.0246270869,  -0.0209503291,  -0.0333830499,  -0.1324728556
  -8.0000000000,  -4.1000000000,  -0.0238080972,  -0.0201088467,  -0.0317296204,  -0.1249876562
  -8.0000000000,  -4.0000000000,  -0.0229933853,  -0.0192739346,  -0.0301041126,  -0.1175975936
  -8.0000000000,  -3.9000000000,  -0.0221864533,  -0.0184486826,  -0.0285123552,  -0.1103535459
  -8.0000000000,  -3.8000000000,  -0.0213913464,  -0.0176365967,  -0.0269606594,  -0.1033059752
  -8.0000000000,  -3.7000000000,  -0.0206126649,  -0.0168415911,  -0.0254557496,  -0.0965037015
  -8.0000000000,  -3.6000000000,  -0.0198555488,  -0.0160679541,  -0.0240046507,  -0.0899926060
  -8.0000000000,  -3.5000000000,  -0.0191256272,  -0.0153202826,  -0.0226145262,  -0.0838143109
  -8.0000000000,  -3.4000000000,  -0.0184289204,  -0.0146033738,  -0.0212924602,  -0.0780048877
  -8.0000000000,  -3.3000000000,  -0.0177716814,  -0.0139220713,  -0.0200451827,  -0.0725936465
  -8.0000000000,  -3.2000000000,  -0.0171601695,  -0.0132810578,  -0.0188787403,  -0.0676020593
  -8.0000000000,  -3.1000000000,  -0.0166003467,  -0.0126845988,  -0.0177981232,  -0.0630428660
  -8.0000000000,  -3.0000000000,  -0.0160975025,  -0.0121362431,  -0.0168068716,  -0.0589194135
  -8.0000000000,  -2.9000000000,  -0.0156558221,  -0.0116385057,  -0.0159066955,  -0.0552252782
  -8.0000000000,  -2.8000000000,  -0.0152779433,  -0.0111925691,  -0.0150971631,  -0.0519442579
  -8.0000000000,  -2.7000000000,  -0.0149645801,  -0.0107980675,  -0.0143755352,  -0.0490508743
  -8.0000000000,  -2.6000000000,  -0.0147143305,  -0.0104530318,  -0.0137368348,  -0.0465115992
  -8.0000000000,  -2.5000000000,  -0.0145237857,  -0.0101540604,  -0.0131742185,  -0.0442869834
  -8.0000000000,  -2.4000000000,  -0.0143879701,  -0.0098967132,  -0.0126796178,  -0.0423345702
  -8.0000000000,  -2.3000000000,  -0.0143010353,  -0.0096760440,  -0.0122445229,  -0.0406121863
  -8.0000000000,  -2.2000000000,  -0.0142569877,  -0.0094871185,  -0.0118607010,  -0.0390808121
  -8.0000000000,  -2.1000000000,  -0.0142502517,  -0.0093253914,  -0.0115206900,  -0.0377064220
  -8.0000000000,  -2.0000000000,  -0.0142759819,  -0.0091869012,  -0.0112180301,  -0.0364606599
  -8.0000000000,  -1.9000000000,  -0.0143301492,  -0.0090683135,  -0.0109472866,  -0.0353206010
  -8.0000000000,  -1.8000000000,  -0.0144094878,  -0.0089668749,  -0.0107039542,  -0.0342680315
  -8.0000000000,  -1.7000000000,  -0.0145113846,  -0.0088803309,  -0.0104843185,  -0.0332885960
  -8.0000000000,  -1.6000000000,  -0.0146337611,  -0.0088068387,  -0.0102853157,  -0.0323710056
  -8.0000000000,  -1.5000000000,  -0.0147749673,  -0.0087448908,  -0.0101044105,  -0.0315063743
  -8.0000000000,  -1.4000000000,  -0.0149336953,  -0.0086932499,  -0.0099394940,  -0.0306876869
  -8.0000000000,  -1.3000000000,  -0.0151089098,  -0.0086508976,  -0.0097888026,  -0.0299093855
  -8.0000000000,  -1.2000000000,  -0.0152997941,  -0.0086169940,  -0.0096508535,  -0.0291670467
  -8.0000000000,  -1.1000000000,  -0.0155057083,  -0.0085908454,  -0.0095243936,  -0.0284571343
  -8.0000000000,  -1.0000000000,  -0.0157261566,  -0.0085718794,  -0.0094083596,  -0.0277768061
  -8.0000000000,  -0.9000000000,  -0.0159607616,  -0.0085596254,  -0.0093018459,  -0.0271237653
  -8.0000000000,  -0.8000000000,  -0.0162092448,  -0.0085536994,  -0.0092040792,  -0.0264961452
  -8.0000000000,  -0.7000000000,  -0.0164714107,  -0.0085537917,  -0.0091143989,  -0.0258924181
  -8.0000000000,  -0.6000000000,  -0.0167471352,  -0.0085596577,  -0.0090322402,  -0.0253113254
  -8.0000000000,  -0.5000000000,  -0.0170363556,  -0.0085711106,  -0.0089571217,  -0.0247518220
  -8.0000000000,  -0.4000000000,  -0.0173390638,  -0.0085880162,  -0.0088886347,  -0.0242130337
  -8.0000000000,  -0.3000000000,  -0.0176553016,  -0.0086102880,  -0.0088264347,  -0.0236942244
  -8.0000000000,  -0.2000000000,  -0.0179851571,  -0.0086378853,  -0.0087702351,  -0.0231947699
  -8.0000000000,  -0.1000000000,  -0.0183287633,  -0.0086708106,  -0.0087198020,  -0.0227141384
  -8.0000000000,   0.0000000000,  -0.0186862982,  -0.0087091091,  -0.0086749497,  -0.0222518759
  -8.0000000000,   0.1000000000,  -0.0190579868,  -0.0087528686,  -0.0086355384,  -0.0218075948
  -8.0000000000,   0.2000000000,  -0.0194441052,  -0.0088022206,  -0.0086014717,  -0.0213809678
  -8.0000000000,   0.3000000000,  -0.0198449872,  -0.0088573422,  -0.0085726963,  -0.0209717217
  -8.0000000000,   0.4000000000,  -0.0202610327,  -0.0089184585,  -0.0085492010,  -0.0205796362
  -8.0000000000,   0.5000000000,  -0.0206927205,  -0.0089858471,  -0.0085310181,  -0.0202045430
