 -15.0000000000, -15.0000000000,  -0.0030713468,  -0.0106778136,  -0.0101890918,  -0.0030466334
 -15.0000000000, -14.0000000000,  -0.0028193445,  -0.0097381536,  -0.0103432913,  -0.0028464898
 -15.0000000000, -13.0000000000,  -0.0025701183,  -0.0087686391,  -0.0105522736,  -0.0026457608
 -15.0000000000, -12.0000000000,  -0.0023251243,  -0.0077916201,  -0.0108333797,  -0.0024452997
 -15.0000000000, -11.0000000000,  -0.0020859405,  -0.0068301582,  -0.0112111066,  -0.0022461111
 -15.0000000000, -10.0000000000,  -0.0018542454,  -0.0059060437,  -0.0117207838,  -0.0020493411
 -15.0000000000,  -9.0000000000,  -0.0016317621,  -0.0050379104,  -0.0124144223,  -0.0018562232
 -15.0000000000,  -8.0000000000,  -0.0014201361,  -0.0042396842,  -0.0133700226,  -0.0016679328
 -15.0000000000,  -7.0000000000,  -0.0012206964,  -0.0035194266,  -0.0147058655,  -0.0014852638
 -15.0000000000,  -6.0000000000,  -0.0010339999,  -0.0028783562,  -0.0165991503,  -0.0013079471
 -15.0000000000,  -5.0000000000,  -0.0008589846,  -0.0023095162,  -0.0192930987,  -0.0011332924
 -15.0000000000,  -4.0000000000,  -0.0006917164,  -0.0017958759,  -0.0230109535,  -0.0009540443
 -15.0000000000,  -3.0000000000,  -0.0005233082,  -0.0013056298,  -0.0273741173,  -0.0007551067
 -15.0000000000,  -2.0000000000,  -0.0003373620,  -0.0007848615,  -0.0290415409,  -0.0005112500
 -15.0000000000,  -1.0000000000,  -0.0004557742,  -0.0009007939,  -0.0922722109,  -0.0007656336
 -15.0000000000,   0.0000000000,  -0.0006108476,  -0.0011294529,  -0.1637863525,  -0.0011038526
 -15.0000000000,   1.0000000000,  -0.0004591789,  -0.0007932349,  -0.1021338687,  -0.0008883568
 -15.0000000000,   2.0000000000,  -0.0003200782,  -0.0005027674,  -0.0355117320,  -0.0007021380
 -15.0000000000,   3.0000000000,  -0.0005016787,  -0.0007438865,  -0.0321281510,  -0.0011949369
 -15.0000000000,   4.0000000000,  -0.0006738323,  -0.0009525695,  -0.0266254108,  -0.0016762406
 -15.0000000000,   5.0000000000,  -0.0008443435,  -0.0011401378,  -0.0219850165,  -0.0021773131
 -15.0000000000,   6.0000000000,  -0.0010210862,  -0.0013204090,  -0.0186323414,  -0.0027262734
 -15.0000000000,   7.0000000000,  -0.0012083367,  -0.0015014434,  -0.0162869962,  -0.0033403549
 -15.0000000000,   8.0000000000,  -0.0014075206,  -0.0016866470,  -0.0146384151,  -0.0040273104
